row_id,positive,sample_n
1653,71,77
1654,50,54
1655,36,38
1656,69,74
1657,47,48
1658,69,72
1659,111,112
1660,114,115
1661,103,104
1662,66,67
1663,73,74
1664,39,41
1665,44,46
1666,34,35
1667,24,27
1668,24,25
1669,20,21
1670,74,78
1671,59,60
1672,51,52
1673,73,74
1674,80,82
1675,90,92
1676,116,118
1677,74,77
1678,72,73
1679,75,77
1680,81,96
1681,91,106
1682,123,124
1683,123,126
1684,119,125
1685,119,136
1686,118,120
1687,30,120
1688,39,117
1689,113,114
1690,23,23
1691,18,18
1692,23,23
1693,21,22
1694,20,21
1695,23,24
1696,22,23
1697,22,23
1698,66,72
1699,83,87
1700,109,114
1701,120,121
1702,104,105
1703,149,151
1704,129,130
1705,94,96
1706,95,97
1707,136,137
1708,20,24
1709,45,48
1710,46,48
1711,46,48
1712,46,48
1713,47,49
1714,44,46
1715,44,46
1716,46,48
1717,66,68
1718,35,65
1719,84,95
1720,69,69
1721,65,66
1722,65,66
1723,47,49
1724,49,50
1725,6,46
1726,32,36
1727,77,79
1728,30,30
1729,31,31
1730,31,33
1731,20,21
1732,33,35
1733,22,24
1734,76,79
1735,92,96
1736,48,48
1737,46,48
1738,92,94
1739,92,94
1740,92,94
1741,94,96
1742,87,89
1743,84,86
1744,19,22
1745,19,22
1746,21,22
1747,21,22
1748,22,23
1749,23,24
1750,37,39
1751,30,32
1752,22,23
1753,14,14
1754,17,17
1755,21,21
1756,19,20
1757,15,15
1758,17,17
1759,16,17
1760,87,89
1761,48,48
1762,53,53
1763,46,48
1764,53,54
1765,50,51
1766,49,50
1767,50,51
1768,46,48
1769,42,45
1770,41,47
1771,31,61
1772,18,19
1773,22,24
1774,28,29
1775,20,21
1776,83,103
1777,108,152
1778,137,145
1779,124,127
1780,152,155
1781,92,94
1782,137,143
1783,231,233
1784,27,31
1785,29,31
1786,34,34
1787,32,34
1788,26,27
1789,28,30
1790,26,27
1791,23,24
1792,27,28
1793,25,26
1794,118,124
1795,102,105
1796,98,100
1797,211,213
1798,162,164
1799,168,170
1800,147,148
1801,137,141
1802,62,63
1803,71,72
1804,26,27
1805,38,38
1806,37,37
1807,21,22
1808,20,21
1809,30,32
1810,33,35
1811,28,29
1812,29,31
1813,28,30
1814,23,23
1815,23,23
1816,25,25
1817,25,26
1818,23,23
1819,12,12
1820,13,14
1821,22,23
1822,30,31
1823,23,26
1824,20,23
1825,24,25
1826,45,48
1827,41,43
1828,58,59
1829,46,48
1830,54,57
1831,37,40
1832,58,59
1833,34,36
1834,40,42
1835,43,45
1836,39,41
1837,72,73
1838,71,71
1839,82,82
1840,71,72
1841,70,71
1842,65,66
1843,71,72
1844,68,69
1845,66,67
1846,67,68
1847,22,22
1848,20,20
1849,20,20
1850,24,25
1851,23,24
1852,22,23
1853,23,24
1854,22,23
1855,100,101
1856,88,88
1857,112,115
1858,109,110
1859,78,80
1860,105,106
1861,80,82
1862,82,84
1863,79,81
1864,96,98
1865,21,28
1866,20,26
1867,23,31
1868,21,22
1869,30,32
1870,30,32
1871,25,26
1872,22,23
1873,34,36
1874,32,34
1875,30,49
1876,41,64
1877,56,56
1878,39,42
1879,49,50
1880,42,45
1881,33,35
1882,14,25
1883,155,160
1884,166,168
1885,165,168
1886,190,192
1887,143,144
1888,143,144
1889,142,143
1890,143,144
1891,136,137
1892,135,136
1893,9,11
1894,14,15
1895,19,20
1896,98,102
1897,78,82
1898,97,98
1899,50,51
1900,155,158
1901,158,162
1902,144,147
1903,119,121
1904,111,113
1905,100,101
1906,17,18
1907,21,22
1908,22,23
1909,20,21
1910,24,25
1911,24,25
1912,19,21
1913,38,54
1914,47,54
1915,54,56
1916,46,48
1917,53,54
1918,62,63
1919,45,47
1920,43,65
1921,64,67
1922,59,65
1923,107,116
1924,102,103
1925,91,93
1926,94,96
1927,93,95
1928,113,114
1929,112,114
1930,87,89
1931,89,91
1932,91,93
1933,58,74
1934,45,58
1935,56,58
1936,75,77
1937,82,84
1938,82,84
1939,78,81
1940,72,83
1941,76,85
1942,84,86
1943,143,152
1944,160,167
1945,162,162
1946,150,152
1947,134,135
1948,145,146
1949,146,147
1950,94,96
1951,85,87
1952,111,113
1953,42,48
1954,35,38
1955,16,35
1956,26,32
1957,29,32
1958,40,40
1959,43,43
1960,42,44
1961,42,44
1962,42,44
1963,42,44
1964,42,44
1965,38,40
1966,42,44
1967,13,15
1968,9,11
1969,12,14
1970,70,79
1971,81,81
1972,71,78
1973,96,98
1974,74,75
1975,83,85
1976,103,104
1977,99,100
1978,100,101
1979,99,100
1980,44,46
1981,66,67
1982,80,82
1983,33,35
1984,53,58
1985,41,43
1986,33,33
1987,27,28
1988,45,47
1989,30,32
1990,99,102
1991,119,121
